WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  FXNO    TXFR                                            
majority                 6     5     8     8    18   395    66     3     3   367       4
of                       6     5     2     2    26   396   220     2     2   368    1757
people                   6     5     6     6    33   397   165     6     6   369      90
in                     -99     0     0     0     0   398     0     0     0     0       0
Britain                  6     5     7     7    41   399   237     4     4   370      26
confuse                -99     0     0     0     0   400     0     0     0     0       0
their                    6     5     5     5    53   401   486     0     0   371     225
their                    6     5     5     5    58   401   201     5     5   373     225
distaste                 6     5     8     8    65   402   297     6     6   372       1
distaste                 6     5     8     8    62   402   448     3     3   375       1
for                    -99     0     0     0     0   403     0     0     0     0       0
a                        6     5     1     1    73   404   311     1     1   374    1434
minority                 7     1     8     8     6   405   275     6     6   379       7
minority                 7     1     8     8     8   405   197     8     8   382       7
pursuit                  7     1     7     7    12   406   273     3     3   377       2
pursuit                  7     1     7     7    10   406   142     1     1   378       2
pursuit                  7     1     7     7    10   406   151     1     1   380       2
pursuit                  7     1     7     7    14   406   250     5     5   381       2
with                     7     1     4     4    21   407   202     4     4   383     393
