WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  LAUN    TXFR                                            
youngsters               9     5    10    10    29   582   200     3     3   -12       2
trying                   9     5     6     6    39   583   229     2     2   -10      23
storm                    9     5     5     5    49   585   183     2     2   -10       3
Budweiser                9     5     9     9    61   587   285     4     4   -12       1
tent.                    9     5     5     4    70   588   430     3     3    -9       2
rules                   10     1     5     5     6   590   155     2     2     0       9
rules                   10     1     5     5     8   590    70     4     4    -2       9
war,                    10     1     4     3    15   592   105     2     2    -7      28
America's               10     1     9     9    25   594   151     1     1   -10     -99
America's               10     1     9     9    30   594    60     6     6    -5     -99
war                     10     1     3     3    37   595   166     3     3    -7      28
crimes                  10     1     6     6    43   596    89     5     5    -6       6
envoy                   10     1     5     5    49   597   221     4     4    -6       2
*Blink                  10   -99     5     5   -99   -99    87   -99   -99   -99     -99
envoy                   10     1     5     5    50   597   192     5     5   -99       2
yesterday               10     1     9     9    56   598   186     5     5    -6      16
declared                10     1     8     8    67   599   211     6     6   -11       7
obsolete,               10     1     9     8    75   600   184     5     5    -8       1
evolved                 10     2     7     7    10   602   189     5     5   -99       2
century                 10     2     7     7    21   605   162     1     1   -11       4
century                 10     2     7     7    24   605   189     4     4    -3       4
